image_path,target
.\input\preprocessed_image\q\q182.jpg,26
.\input\preprocessed_image\5\5438.jpg,5
.\input\preprocessed_image\d\d31.jpg,13
.\input\preprocessed_image\9\9719.jpg,9
.\input\preprocessed_image\k\k280.jpg,20
.\input\preprocessed_image\9\9103.jpg,9
.\input\preprocessed_image\t\t44.jpg,29
.\input\preprocessed_image\y\y516.jpg,34
.\input\preprocessed_image\j\j494.jpg,19
.\input\preprocessed_image\x\x730.jpg,33
.\input\preprocessed_image\f\f781.jpg,15
.\input\preprocessed_image\a\a611.jpg,10
.\input\preprocessed_image\s\s916.jpg,28
.\input\preprocessed_image\g\g295.jpg,16
.\input\preprocessed_image\d\d844.jpg,13
.\input\preprocessed_image\5\5546.jpg,5
.\input\preprocessed_image\w\w7.jpg,32
.\input\preprocessed_image\c\c793.jpg,12
.\input\preprocessed_image\d\d950.jpg,13
.\input\preprocessed_image\z\z889.jpg,35
.\input\preprocessed_image\9\973.jpg,9
.\input\preprocessed_image\a\a354.jpg,10
.\input\preprocessed_image\h\h420.jpg,17
.\input\preprocessed_image\x\x160.jpg,33
.\input\preprocessed_image\9\9925.jpg,9
.\input\preprocessed_image\g\g808.jpg,16
.\input\preprocessed_image\l\l126.jpg,21
.\input\preprocessed_image\8\8838.jpg,8
.\input\preprocessed_image\x\x611.jpg,33
.\input\preprocessed_image\d\d670.jpg,13
.\input\preprocessed_image\9\9993.jpg,9
.\input\preprocessed_image\7\7788.jpg,7
.\input\preprocessed_image\k\k485.jpg,20
.\input\preprocessed_image\g\g424.jpg,16
.\input\preprocessed_image\k\k639.jpg,20
.\input\preprocessed_image\z\z952.jpg,35
.\input\preprocessed_image\x\x524.jpg,33
.\input\preprocessed_image\q\q533.jpg,26
.\input\preprocessed_image\s\s404.jpg,28
.\input\preprocessed_image\p\p569.jpg,25
.\input\preprocessed_image\r\r153.jpg,27
.\input\preprocessed_image\3\3483.jpg,3
.\input\preprocessed_image\p\p905.jpg,25
.\input\preprocessed_image\y\y548.jpg,34
.\input\preprocessed_image\c\c190.jpg,12
.\input\preprocessed_image\o\o467.jpg,24
.\input\preprocessed_image\r\r150.jpg,27
.\input\preprocessed_image\h\h2.jpg,17
.\input\preprocessed_image\h\h931.jpg,17
.\input\preprocessed_image\9\9725.jpg,9
.\input\preprocessed_image\h\h612.jpg,17
.\input\preprocessed_image\a\a247.jpg,10
.\input\preprocessed_image\w\w218.jpg,32
.\input\preprocessed_image\4\4972.jpg,4
.\input\preprocessed_image\j\j870.jpg,19
.\input\preprocessed_image\b\b808.jpg,11
.\input\preprocessed_image\k\k287.jpg,20
.\input\preprocessed_image\w\w992.jpg,32
.\input\preprocessed_image\u\u963.jpg,30
.\input\preprocessed_image\u\u25.jpg,30
.\input\preprocessed_image\s\s705.jpg,28
.\input\preprocessed_image\4\466.jpg,4
.\input\preprocessed_image\v\v201.jpg,31
.\input\preprocessed_image\1\1161.jpg,1
.\input\preprocessed_image\z\z769.jpg,35
.\input\preprocessed_image\w\w968.jpg,32
.\input\preprocessed_image\o\o717.jpg,24
.\input\preprocessed_image\i\i170.jpg,18
.\input\preprocessed_image\7\7574.jpg,7
.\input\preprocessed_image\z\z104.jpg,35
.\input\preprocessed_image\0\0552.jpg,0
.\input\preprocessed_image\l\l363.jpg,21
.\input\preprocessed_image\s\s921.jpg,28
.\input\preprocessed_image\g\g278.jpg,16
.\input\preprocessed_image\f\f178.jpg,15
.\input\preprocessed_image\u\u522.jpg,30
.\input\preprocessed_image\t\t763.jpg,29
.\input\preprocessed_image\8\8504.jpg,8
.\input\preprocessed_image\p\p402.jpg,25
.\input\preprocessed_image\n\n921.jpg,23
.\input\preprocessed_image\b\b922.jpg,11
.\input\preprocessed_image\i\i790.jpg,18
.\input\preprocessed_image\q\q974.jpg,26
.\input\preprocessed_image\1\136.jpg,1
.\input\preprocessed_image\v\v160.jpg,31
.\input\preprocessed_image\u\u355.jpg,30
.\input\preprocessed_image\4\4103.jpg,4
